name,address,latitude,longitude,brand
Jollibee Gracepark,"Super 8 Caloocan G/F, 558, near the package counter, Super 8 Grocery, 564 Rizal Ave Ext, Grace Park East, Caloocan, Metro Manila, Philippines",14.6541723,120.98418160000001,Jollibee
Jollibee ARDI 3 CML CNTR,"RD 3 Commercial Complex, A.Bonifacio Ave, Cainta, 1900 Rizal, Philippines",14.5770187,121.1165391,Jollibee
Jollibee,"Alabang Zapote Rd, Brgy, corner Madrigal Ave, New Alabang Village, Muntinlupa, Metro Manila, Philippines",14.425777199999999,121.0278819,Jollibee
Jollibee,"H3J3+CR6, Epifanio de los Santos Ave, Ortigas Center, Mandaluyong City, Metro Manila, Philippines",14.5810259,121.0545171,Jollibee
Jollibee at Unimart Capitol Commons,"H3F6+RPP, Pasig, Metro Manila, Philippines",14.574576299999999,121.0618423,Jollibee
Jollibee - Happy Go Shopping Mall Valenzuela,"Jollibee, Ibaba, Valenzuela, 1440 Metro Manila, Philippines",14.746600899999999,120.9962226,Jollibee
Jollibee - Visayas Tandang Sora,"248 Visayas Ave, Quezon City, 1107 Metro Manila, Philippines",14.675778300000001,121.0438895,Jollibee
Jollibee Philippine Heart Center,"Philippine Heart Center Bldg, East Avenue, cor Matalino St, Diliman, Quezon City, Metro Manila, Philippines",14.644468999999999,121.04801639999998,Jollibee
Jollibee - SM Congressional,"70 Congressional Ave, Project 8, Quezon City, Metro Manila, Philippines",14.6711833,121.03879210000001,Jollibee
Jollibee - Vicas Camarin,"P2XP+5HW, 173, Caloocan, Metro Manila, Philippines",14.7478797,121.03653290000001,Jollibee
Jollibee - Puregold Arvo,"Puregold Ayala Malls Marikina, Liwasang Kalayaan, Marikina, 1800 Metro Manila, Philippines",14.648384000000002,121.11621559999998,Jollibee
Jollibee - SM Southmall,"Basement level, SM Southmall, Alabang–Zapote Rd, Las Piñas, Metro Manila, Philippines",14.432654000000001,121.010848,Jollibee
Jollibee,"24 Diosdado Macapagal Blvd, Pasay City, Metro Manila, Philippines",14.534129100000001,120.9887869,Jollibee
Jollibee - Zabarte,"175, 1400 13-15, 175, Barangay, Lot 3, Zone 15, Block 13-15, DISTRICT 1 Camarin Rd, Caloocan, 1400 Metro Manila, Philippines",14.757821600000002,121.0438258,Jollibee
Jollibee,"Bgy, Dr Arcadio Santos Ave, San Isidro, Parañaque, 1700 Metro Manila, Philippines",14.4652833,121.01808619999998,Jollibee
Jollibee,"Phoenix Gas Station, beside Hotel 101, along, EDSA Ext, Pasay City, Metro Manila, Philippines",14.535624600000002,120.98767570000001,Jollibee
Jollibee,"127 Quirino Hwy, cor M. Pascual St, Quezon City, 1106 Metro Manila, Philippines",14.6675903,121.00844040000001,Jollibee
Jollibee - Landmark,"Stall 1 Level 1 Food Center Landmark Alabang Building, Filinvest City, Alabang, Muntinlupa, Metro Manila, Philippines",14.416631800000001,121.04293229999999,Jollibee
Jollibee,"3F SM City BF Homes Paranaque, Dr. A. Santos Ave, Corner President's Ave, Parañaque, 1700 Metro Manila, Philippines",14.458302600000001,121.0320122,Jollibee
Jollibee,"Annapolis, cor Missouri, San Juan City, Metro Manila, Philippines",14.6038628,121.05225519999998,Jollibee
Jollibee Caruncho San Nicolas,"H36M+422, Caruncho Ave, Pasig, Metro Manila, Philippines",14.560261299999999,121.0825222,Jollibee
Jollibee Gil Fernando- Sumulong,"Gil Fernando, cor Sumulong Hwy, Marikina, 1800 Metro Manila, Philippines",14.6347094,121.10174239999998,Jollibee
Jollibee SPRING CINEMA Arnaiz Ave,"G/F Spring Cinema Bldg. Arnaiz Ave, Cor Burgos St, Pasay City, Metro Manila, Philippines",14.548221400000001,121.0009273,Jollibee
Jollibee,"3126 Redemptorist Road, Baclaran, Parañaque, 1702 Kalakhang Maynila, Philippines",14.532297000000002,120.99471039999999,Jollibee
Jollibee Aseana,"G/F Aseana One, Brgy, Aseana City, Bldg Bradco Ave, Baclaran, Parañaque, Metro Manila, Philippines",14.529217399999999,120.9916179,Jollibee
